CRIME DATE,TIME START,TIME END,ADDRESS,CRIME TYPE,ARREST MADE,LARCENY TYPE,ID
2019-01-01,01:20:00,01:24:00,100 BALLANTYNE RD     ,AGGRAVATED ASSAULT,Yes,,1
2019-01-01,18:19:00,07:00:00,100 DAWES AV     ,LARCENY,No,All Other,2
2019-01-01,01:15:00,02:45:00,100 FENTON ST     ,MV THEFT,No,Motor Vehicle,3
2019-01-01,19:00:00,19:00:00,100 MILDRED AV     ,AGGRAVATED ASSAULT,Yes,,4
2019-01-01,07:25:00,07:25:00,1400 MIDLAND AV     ,AGGRAVATED ASSAULT,No,,5
2019-01-01,12:43:00,12:43:00,1800 W  GENESEE ST     ,LARCENY,No,Shoplifting,6
2019-01-01,08:30:00,08:30:00,200 CLYDE AV     ,AGGRAVATED ASSAULT,No,,7
2019-01-01,13:00:00,13:00:00,200 GENESEE PARK DR     ,MV THEFT,No,Motor Vehicle,8
2019-01-01,00:30:00,00:45:00,300 BRUCE ST     ,AGGRAVATED ASSAULT,Yes,,9
2019-01-01,11:27:00,11:27:00,300 ROWLAND ST     ,AGGRAVATED ASSAULT,No,,10
2019-01-01,16:42:00,16:42:00,300 S  SALINA ST     ,BURGLARY,Yes,From Building,11
2019-01-01,15:06:00,15:06:00,400 SOLAR ST     ,AGGRAVATED ASSAULT,No,,12
2019-01-01,04:08:00,04:08:00,500 CANNON ST     ,AGGRAVATED ASSAULT,No,,13
2019-01-01,18:37:00,18:37:00,600 BUTTERNUT ST     ,AGGRAVATED ASSAULT,Yes,,14
2019-01-01,21:07:00,21:07:00,600 S  GEDDES ST     ,LARCENY,No,From Building,15
2019-01-01,17:02:00,17:05:00,700 E  LAUREL ST     ,ROBBERY,No,Purse Snatch,16
2019-01-01,22:00:00,02:14:00,800 SOUTH AV     ,BURGLARY,No,,17
2019-01-01,23:55:00,12:00:00,900 ACKERMAN AV     ,LARCENY,No,,18
2019-01-02,19:30:00,20:15:00,1 DESTINY USA DR,MV THEFT,No,Motor Vehicle,19
2019-01-02,15:40:00,15:40:00,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,20
2019-01-02,18:00:00,23:50:00,200 WOODBINE AV     ,BURGLARY,No,From Building,21
2019-01-02,21:06:00,21:06:00,2800 S SALINA ST ,MURDER,No,,22
2019-01-02,09:00:00,16:00:00,300 FURMAN ST     ,BURGLARY,No,From Building,23
2019-01-02,23:40:00,23:40:00,400 LODI ST     ,LARCENY,No,All Other,24
2019-01-02,23:00:00,07:00:00,400 S  SALINA ST     ,LARCENY,No,From Building,25
2019-01-02,00:01:00,00:01:00,400 SHONNARD ST     ,AGGRAVATED ASSAULT,No,,26
2019-01-02,19:02:00,19:02:00,400 STOLP AV     ,MV THEFT,No,Motor Vehicle,27
2019-01-02,22:48:00,22:48:00,600 S  GEDDES ST     ,AGGRAVATED ASSAULT,No,,28
2019-01-02,03:00:00,06:00:00,900 N  TOWNSEND ST     ,LARCENY,No,All Other,29
2019-01-03,14:59:00,14:59:00,0 MAXWELL CT     ,AGGRAVATED ASSAULT,Yes,,30
2019-01-03,23:15:00,23:15:00,0 TRELIGN DR     ,MV THEFT,Yes,Motor Vehicle,31
2019-01-03,16:00:00,22:00:00,1 DESTINY USA DR,MV THEFT,No,Motor Vehicle,32
2019-01-03,14:55:00,14:55:00,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,33
2019-01-03,12:00:00,08:30:00,100 CLARENDON AV     ,BURGLARY,No,,34
2019-01-03,20:08:00,20:25:00,100 CROLY ST     ,AGGRAVATED ASSAULT,No,,35
2019-01-03,07:05:00,07:05:00,100 W  FLORENCE AV     ,MV THEFT,No,Motor Vehicle,36
2019-01-03,17:00:00,07:00:00,1000 BUTTERNUT ST     ,LARCENY,No,From Motor Vehicle,37
